policy,trade_count,win_rate,gross_pnl_per_share,average_r,median_r,max_drawdown_per_share,target_or_partial_count,stop_count,session_close_count,average_mfe_r,median_mfe_r,average_mae_r
fixed_0.80R,89,0.5955056179775281,20.655999999999892,0.09015851334433726,0.3483146067415594,12.249999999999972,41,22,26,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_0.75R,89,0.6067415730337079,20.027499999999947,0.09386463650434085,0.4956521739130351,12.249999999999972,43,21,25,0.7836492330677484,0.6897959183673412,0.7632771032166918
partial_80pct_0.75R_then_vwap_trail,89,0.6067415730337079,16.995999999999924,0.07906007050589345,0.4956521739130351,12.249999999999972,43,35,0,0.7836492330677484,0.6897959183673412,0.7632771032166918
partial_80pct_0.75R_then_breakeven_session_close,89,0.6067415730337079,16.97599999999994,0.07822979861641681,0.4956521739130351,12.249999999999972,43,39,0,0.7836492330677484,0.6897959183673412,0.7632771032166918
partial_70pct_0.75R_then_vwap_trail,89,0.6067415730337079,15.480249999999913,0.07165778750666973,0.4956521739130351,12.249999999999972,43,35,0,0.7836492330677484,0.6897959183673412,0.7632771032166918
partial_70pct_0.75R_then_breakeven_session_close,89,0.6067415730337079,15.450249999999931,0.07041237967245478,0.4956521739130351,12.249999999999972,43,39,0,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_0.50R,89,0.6741573033707865,15.134999999999877,0.07720590745518631,0.4999999999999948,10.0,55,16,18,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_0.70R,89,0.6067415730337079,14.633999999999958,0.07110457182504254,0.4956521739130351,12.249999999999972,44,21,24,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_0.60R,89,0.6404494382022472,14.12599999999992,0.0710006858670536,0.5999999999999941,12.249999999999972,49,19,21,0.7836492330677484,0.6897959183673412,0.7632771032166918
partial_50pct_0.75R_then_vwap_trail,89,0.6067415730337079,12.44874999999989,0.05685322150822233,0.37499999999999695,12.249999999999972,43,35,0,0.7836492330677484,0.6897959183673412,0.7632771032166918
partial_50pct_0.75R_then_breakeven_session_close,89,0.6067415730337079,12.398749999999922,0.05477754178453075,0.37499999999999695,12.249999999999972,43,39,0,0.7836492330677484,0.6897959183673412,0.7632771032166918
partial_50pct_0.75R_then_session_close,89,0.550561797752809,12.363749999999925,0.05548915253557992,0.14644351464434818,12.249999999999972,43,26,0,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_0.90R,89,0.5730337078651685,10.621999999999986,0.04871187204510854,0.17748917748917584,12.249999999999972,29,23,37,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_1.25R,89,0.550561797752809,9.902499999999975,0.029932308276747838,0.08040201005024918,12.249999999999972,16,25,48,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_1.00R,89,0.5617977528089888,9.769999999999982,0.0398971601046398,0.12015503875969155,12.249999999999972,25,24,40,0.7836492330677484,0.6897959183673412,0.7632771032166918
trail_1.00R_from_high_low,89,0.4943820224719101,9.629999999999853,0.0477205655323112,-0.06282722513087767,11.249999999999972,0,0,43,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_0.25R,89,0.8202247191011236,8.944999999999936,0.0682243740532485,0.24999999999999775,10.869999999999976,71,8,10,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_1.50R,89,0.550561797752809,6.68499999999986,0.02145500032154128,0.08040201005024918,12.455000000000041,11,25,53,0.7836492330677484,0.6897959183673412,0.7632771032166918
fixed_2.00R,89,0.5393258426966292,5.149999999999864,0.01347135688908104,0.05511811023622647,13.599999999999994,5,26,58,0.7836492330677484,0.6897959183673412,0.7632771032166918
session_close_runner,89,0.5393258426966292,4.699999999999903,0.017113668566819,0.05511811023622647,12.840000000000032,0,26,63,0.7836492330677484,0.6897959183673412,0.7632771032166918
trail_1.50R_from_high_low,89,0.5168539325842697,1.8799999999999102,0.004497546984812063,0.0025906735751271876,19.089999999999975,0,0,57,0.7836492330677484,0.6897959183673412,0.7632771032166918
